"Crs.Name","Title","Sections.Offered","Terms.w.Sect","avg.Enroll","avg.Cap"
"KPHE-150.21","Swimming-Intermed 1st 6 WKS",1,1,10,25
"KPHE-150.24","Trap Shooting-Begin 1st 6 WKS",1,1,14,15
"KPHE-150.25","Weight Training",1,1,17,25
"KPHE-150.26","Yoga",1,1,41,35
"KPHE-150.26","Yoga 1st 6 WKS",2,2,35,35
"KPHE-150.3","Body Conditioning",3,1,9,25
"KPHE-150.4","Bowling",1,1,34,36
"KPHE-150.5","Dance-Ballet I",1,1,36,50
"KPHE-150.6","Dance-Jazz I 1st 6WKS",1,1,13,30
"KPHE-150.6A","Dance-Jazz II 1st 6 WKS",1,1,14,30
"KPHE-150.7","Fly Fishing 1st 6 WKS",1,1,11,9
"KPHE-150.8","Fly Tying-Beginning",1,1,12,10
"KPHE-150.9","Jog/Walk",1,1,40,40
"KPHE-150.9","Jog/Walk 1st 6 WKS",1,1,8,30
"KPHE-150ARW","Archery/Beginning-Winter",2,1,15,14
"KPHE-150BCW","Body Conditioning-Winter",3,1,20,20
"KPHE-150BDW","Badminton-Winter",1,1,16,16
"KPHE-150DBW","Dance/Ballet 1-Winter",1,1,27,25
"KPHE-150DJ1","Dance/Jazz 1-1st 6WKS",1,1,6,25
"KPHE-150DJ2","Dance/Jazz 2-1st 6WKS",1,1,3,25
"KPHE-150FF","Fly Fishing-1st 6WKS",1,1,8,9
"KPHE-150FTW","Fly Tying-Winter",1,1,12,12
"KPHE-150JW","Jog/Walk-1st 6WKS",1,1,7,40
"KPHE-150JWW","Jog/Walk-Winter",1,1,31,40
"KPHE-150RC","Rock Climb Level 1-1st 6WKS",3,1,7,9
"KPHE-150SD","Scuba Diving/Begin-1st 6WKS",2,1,4,9
"KPHE-150SDW","Self Defense 1/Women-1st 6WKS",2,2,18.5,25
"KPHE-150SDWW","Self Defense 1/Women-Winter",1,1,22,25
"KPHE-150SW","Swimming/Begin-1st 6WKS",1,1,16,25
"KPHE-150SWI","Swimming/Intermed-1st 6WKS",1,1,15,20
"KPHE-150SWW","Swimming Conditioning-Winter",1,1,26,25
"KPHE-150TS","Trap Shooting/Begin-st 6WKS",1,1,15,15
"KPHE-150WTW","Weight Training-Winter",1,1,29,25
"KPHE-150YG","Yoga-1st 6WKS",2,1,11,25
"KPHE-150YGS","Yoga-1st 6WKS",2,1,17.5,25
"KPHE-150YGW","Yoga-Winter",2,1,21.5,25
"KPHE-160","Advanced Karate",2,2,2.5,20
"KPHE-160","Advanced Tennis",1,1,11,12
"KPHE-160","Advanced Trap Shooting",2,2,15,15
"KPHE-160","Beg Rock Climbing",2,1,8,9
"KPHE-160","Beg. Archery-2nd 6wks",1,1,14,14
"KPHE-160","Beginning Boxing: 2nd 6 wks",1,1,9,10
"KPHE-160","Beginning Karate",2,2,17,20
"KPHE-160","Beginning Tennis",1,1,14,12
"KPHE-160","Beginning Tennis: 2nd 6WKS",1,1,8,12
"KPHE-160","Beginning Yoga",1,1,23,20
"KPHE-160","Beginning Yoga: 2nd 6wks",1,1,21,20
"KPHE-160","Fly Fishing",1,1,13,10
"KPHE-160","Fly Fishing: 2nd 6WKS",1,1,10,10
"KPHE-160","Int Swimming-2nd 6wks",1,1,10,10
"KPHE-160","Intermediate Boxing: 2nd 6wks",1,1,15,15
"KPHE-160","Intermediate Boxing:2nd 6 wks",1,1,7,10
"KPHE-160","Intermediate Swimming:2nd 6WKS",1,1,3,25
"KPHE-160","Rhythmic Skills-2nd wks",1,1,10,10
"KPHE-160","Rhythmic Skills: 2nd 6wks",1,1,3,25
"KPHE-160","Rock Climbing",2,1,11,9
"KPHE-160","Rock Climbing 2nd 6wks",2,1,8.5,10
"KPHE-160","Self Defense II Women",1,1,13,25
"KPHE-160","Self Defense II-Women-2nd 6wk",1,1,6,10
"KPHE-160","Self Defense for Men II",1,1,8,30
"KPHE-160","Self Defense for Women II",1,1,20,30
"KPHE-160","Self Defense-WomenII: 2nd 6wk",1,1,10,30
"KPHE-160","Self-Defense Men II:2nd 6 Wks",1,1,5,30
"KPHE-160","Weight Training-2nd 6wks",1,1,16,25
"KPHE-160","Weight Training: 2nd 6 Wks",1,1,10,25
"KPHE-160.1","Archery-Beginning 2nd 6WKS",1,1,17,14
"KPHE-160.10","Karate-Beginning 2nd 6 WKS",1,1,17,20
"KPHE-160.10A","Karate-Advanced 2nd 6WKS",1,1,2,20
"KPHE-160.12","Rhythmic Skills 2nd 6 WKS",1,1,19,25
"KPHE-160.13","Rock Climb Level I 2nd 6WKS",2,1,9,9
"KPHE-160.16","Scuba Diving-2nd 6 WKS",2,1,5,15
"KPHE-160.16","Scuba Diving-Adv 2nd 6 WKS",2,1,2,15
"KPHE-160.18","SelfDefense Women II 2nd 6",1,1,6,25
"KPHE-160.18","SelfDefense Women II 2nd 6WKS",1,1,6,25
"KPHE-160.21","Swimming Intermed 2nd 6 WKS",1,1,6,25
"KPHE-160.22","Tennis-Beginning 2nd 6 WKS",1,1,23,18
"KPHE-160.23","Tennis-Advanced 2nd 6 WKS",1,1,3,18
"KPHE-160.24","Trap Shooting-Adv 2nd 6 WKS",1,1,7,9
"KPHE-160.25","Weight Training 2nd 6 WKS",1,1,17,25
"KPHE-160.26","Yoga 2nd 6 WKS",2,2,37.5,35
"KPHE-160.7","Fly Fishing 2nd 6 WKS",1,1,11,10
"KPHE-160AR","Archery/Beginning-2nd 6WKS",1,1,15,14
"KPHE-160FF","Fly Fishing-2nd 6WKS",1,1,9,9
"KPHE-160KT1","Karate/Beginning-2nd 6WKS",1,1,23,25
"KPHE-160RC","Rock Climb Level 1-2nd 6WKS",2,1,9,9
"KPHE-160RS","Rhythmic Skills-2nd 6WKS",1,1,7,25
"KPHE-160SDW","Self Defense 2/Women-2nd 6WKS",2,2,8.5,25
"KPHE-160SWI","Swimming/Intermed-2nd 6WKS",1,1,11,20
"KPHE-160TN1","Tennis/Beginning-2nd 6WKS",1,1,16,20
"KPHE-160TN2","Tennis/Advanced-2nd 6WKS",1,1,2,20
"KPHE-160TS","Trap Shoot/Advance-2nd 6WKS",1,1,9,15
"KPHE-160WT","Weight Training-2nd 6WKS",1,1,13,25
"KPHE-160YG","Yoga-2nd 6WKS",4,2,13.75,25
"LAS-399T","Mexico, The City",1,1,17,18
"LAS-490","Senior Portfolio",1,1,2,10
"LSP-101","Leadership Development",4,4,28,29.5
"LSP-201","Leadership Theories",6,6,17.17,25
"LSP-201","Leadership Theories & Styles",4,4,17,20
"LSP-210","Servant Leadership",5,5,16.8,23.4
"LSP-299T.01","SpecTop:Christian Serv Leader",2,2,7.5,25
"LSP-299T.2","SpecTop:Leadershp in Business",4,4,9.25,25
"LSP-397","Internship",1,1,1,5
"LSP-399T","Intro to Trauma Advocacy",3,2,16.33,30
"LSP-496","Senior Leadership Seminar",4,4,2.75,15.25
"LSP-497","Arts Administration Intern Cfa",1,1,1,5
"LSP-497","Assistant Cross-Country Coach",1,1,1,5
"LSP-497","Campus Ministries Intern",1,1,1,5
"LSP-497","Coaching Skills for Tomorrow",1,1,1,5
"LSP-497","Com Outreach for Stu Athletes",1,1,1,5
"LSP-497","Court ApptdYouth Advocasy",1,1,1,5
"LSP-497","Events and Promotions Intern",1,1,1,5
"LSP-497","Hospital Chaplaincy Internship",1,1,1,5
"LSP-497","Internship:outdoor Leadership",1,1,1,5
"LSP-497","Job Shadow RDN",1,1,1,5
"LSP-497","Lacrosse Team Internship",1,1,1,5
"LSP-497","Multicultural Affairs Assist.",1,1,1,5
"LSP-497","Park Center Church Internship",1,1,1,5
"LSP-497","Program Development Intern",1,1,1,5
"LSP-497","Rosenthal Art Gallery",1,1,1,5
"LSP-497","Snowschool Intern",1,1,1,5
"LSP-497","Student Life, Theory & Prac",1,1,1,5
"LSP-497","TRIO Intern",1,1,1,5
"LSP-497","Video Marketing Intern",1,1,1,5
"LSP-497","WICAP Leadership Intern",1,1,1,5
"MAT-101","Survey of Algebra/Probability",26,9,18.38,19
"MAT-102","Functions",28,10,7.64,15.96
"MAT-105","Algebra",14,8,18.36,21
"MAT-111","Contemporary Mathematics",3,3,12.33,21.67
"MAT-112","Introduction to Statistics",14,6,30.29,30.36
"MAT-123.1","Applied Mathematics",12,6,19.5,22.17
"MAT-125","Data Analysis and Statistics",41,13,24.66,27.34
"MAT-130","Trigonometry",13,6,1.54,4.54
"MAT-149","Pre-Calculus Mathematics",3,3,15.33,33.33
"MAT-150","Applied Calculus",24,11,21.79,29.17
"MAT-151","Calculus I",8,5,25,30.75
"MAT-152","Calculus II",6,6,27,30
"MAT-175","Single Variable Calculus",9,9,18.22,30
"MAT-199","Math & Physics Colloquium",8,8,5.5,30
"MAT-199T","Math/Physics Colloquium",1,1,11,20
"MAT-212","Advanced Statistical Methods",17,13,20.47,26.47
"MAT-212","Multiple Regression Analysis",5,5,13.2,27.8
"MAT-221","Mathematics/Elemen Teachers I",7,7,9.71,28.57
"MAT-222","Mathematics/Elemen Teachers II",6,6,9.83,28.33
"MAT-251","Calculus III",3,3,31.33,33.33
"MAT-252","Discrete Mathematics",3,3,16.33,28.33
"MAT-275","Multivariable Calculus",5,5,15.2,30
"MAT-280","Intro to Proof: Number Theory",1,1,27,25
"MAT-281","Intro to Proof: Combinatorics",1,1,28,25
"MAT-282","Intro to Proof:Sets& Function",8,5,22.12,25
"MAT-311","Probability& Mathematical Stat",4,4,17.5,27.5
"MAT-352","Differential Equations",7,7,17.43,32.14
"MAT-361","Linear Algebra",7,6,18.57,25
"MAT-370","Geometry",5,4,11.2,25
"MAT-372","History of Mathematics",3,3,14.33,25
"MAT-399T","Intro to Diophantine Equations",1,1,4,20
"MAT-431","Complex Analysis",1,1,3,25
"MAT-431","Complex Variables",2,2,17.5,27.5
"MAT-441","Topology",3,3,6.33,26.67
"MAT-451","Real Analysis",4,4,7.5,23.75
"MAT-461","Abstract Algebra",2,2,3.5,20
"MAT-461","Algebraic Structures",2,2,10.5,27.5
"MAT-498","Upper Division Seminar",6,6,5.17,20.67
"MFL-199T.1","Chinese Language & Culture I",1,1,13,20
"MFL-199T.2","Chinese Language & Culture II",3,1,8,25
"MFL-199TREV","Chinese Grammar&Phonetics Rev",1,1,6,25
"MFL-299","Intermediate Readings/German",2,2,3.5,20
"MFL-299","Intermediate Readings/Spanish",2,2,20,20
"MFL-299T","Intermediate Readings in Mfl",1,1,3,25
"MFL-337","Spanish for Business I",1,1,17,20
"MFL-398","Pract in FL/ESL/Bilingual Ed",5,5,1.4,5
"MFL-399T.2","Latin America Today",2,1,16,20
"MFL-399T.4","Human Rights/First Generation",2,1,13,24
"MFL-444","2nd Lang Acquisition Theory",2,2,1.5,11.5
"MFL-445","FL, ESL & Bilingual Methods",2,2,2.5,13.5
"MFL-446","Linguistics/Language Teachers",1,1,3,15
"MFL-447","Foundations/Bilingual Ed/ESL",2,2,1.5,11
"MS-101","Intro Military Science",2,1,1,25
"MS-102","Intro Military Science",2,1,3,25
"MS-202","Military Leadership",2,1,1,25
"MS-250","Fitness Activities",4,4,1,25
"MS-301","Leadership & Management",2,1,1,25
"MS-302","Basic Tactics",2,1,1,25
"MS-401","Professional Preparation",2,2,1,25
"MS-402","Professional Preparation",2,2,1,25
"MUS-001","Concert Recital",1,1,40,100
"MUS-001","Concert/Recital Attendance",19,14,34.95,96.05
"MUS-100","Music Fundamentals",15,15,12.2,25
"MUS-101","Intro to Music Theory & Sound",1,1,5,25
"MUS-101","Music Theory I",7,7,17.86,23.57
"MUS-101L","Aural Skills",1,1,4,25
"MUS-101L","Aural Skills I",7,7,11.43,25
"MUS-102","Music Theory II",7,7,9.57,25
"MUS-102L","Aural Skills II",6,6,6.5,25
"MUS-105","The Beatles",1,1,27,25
"MUS-111","Intro to Music Literature",11,11,19.91,25
"MUS-112","Introduction to World Music",6,6,20.5,25
"MUS-113","Mus Love/Death/All the Rest",2,2,18,25
"MUS-115","Beethoven:Mus, Context& Myth",2,2,7.5,25
"MUS-116","Mozart:Mus, Context, Myth Mak",3,3,8,25
"MUS-121","Sinfonia",13,13,11.46,50
"MUS-122","Concert Band",10,10,14.5,50
"MUS-122","Wind Ensemble & Marching Band",3,3,25.67,50
"MUS-123","Early Music Ensemble",2,2,4,10
"MUS-123","Major Sixth Vocal Ensemble",5,5,4.8,6
"MUS-124","Jazz Ensemble",13,13,7.31,36.54
"MUS-125","Chamber Ensemble",8,8,7.5,28.12
"MUS-125","Chamber Ensemble-Singers",3,3,18,30
"MUS-125","Chamber Ensemble-Strings",5,5,8.8,35
"MUS-125","Chamber Ensemble-Vocal",2,2,16,50
"MUS-125","Chamber Ensemble-WInds",1,1,2,25
"MUS-125","Chamber Ensemble-Winds",1,1,1,25
"MUS-125","Chamber Ensemble: Choir",1,1,11,25
"MUS-125","Chamber Ensemble: Singers",2,2,19,30
"MUS-125","Chamber Ensemble: Strings",2,2,7.5,25
"MUS-125","Chamber Ensemble: Winds",1,1,1,25
"MUS-125","Chamber Singers",2,2,18,25
"MUS-125","Chamber Strings",1,1,9,25
"MUS-125","Chamber Winds",1,1,1,25
"MUS-126","Chorale",16,16,41.44,87.5
"MUS-127","Chamber Ensemble - Singers",6,6,11.83,26.67
"MUS-128","Vocal Jazz Ensemble",15,15,6.47,22
"MUS-129","Yote Band",2,2,5.5,100
"MUS-133","Class Voice",6,6,3.5,16.67
"MUS-138","English & Italian Diction",6,6,2.83,25
"MUS-139","French & German Diction",6,6,2.83,25
"MUS-155","Music, Movies and Video Games",2,2,40.5,50
"MUS-201","Music Theory III",7,7,6.71,23.57
"MUS-201","Seminar in Chromatic Harmony",1,1,3,25
"MUS-201L","Aural Skills III",2,2,4,25
"MUS-202","Music Theory IV",7,7,6.14,25
"MUS-213","History of Popular Music",1,1,1,25
"MUS-215","Survey of Opera History",4,4,4.5,25
"MUS-216","Music and the Church",1,1,4,25
"MUS-220","Intro to Music Technology",2,2,6,25
"MUS-231","Piano Proficiency Exam",3,3,1,25
"MUS-238","English & Italian Diction",1,1,5,25
"MUS-301","18th-Century Counterpoint",1,1,1,15
"MUS-301","Counterpoint",3,3,6,15
"MUS-308","The Music of Britain",1,1,5,25
"MUS-311","Music History I",7,7,10.71,25
"MUS-312","Music History II",6,6,8,25
"MUS-327","Musical Theatre/Opera Workshop",8,8,7.12,50
"MUS-333","Vocal Pedagogy & Literature",3,3,4.67,23.33
"MUS-337","Practicum/Violin,Viola,Cello",9,9,2.22,10
"MUS-337S","Practicum/Violin,Viola,Cello",2,1,1,10
"MUS-337W","Practicum/Violin,Viola,Cello",2,1,2.5,10
"MUS-341","Beginning Conducting",7,7,3.14,17.86
"MUS-342","Advanced Conducting",6,6,2.5,21.67
"MUS-345","Teaching Band Instruments",4,4,2.5,15
"MUS-350","Orchestration",1,1,3,15
"MUS-355","Studio Teaching & Organization",2,2,1.5,15
"MUS-390","Junior Recital",4,3,1.75,22.5
"MUS-400","Musicology Seminar",13,7,5.54,18.85
"MUS-403","Compos Sem& Orchestrn Studies",2,2,5.5,7.5
"MUS-410","Comp/Sem& Orchestrn-Voice",2,2,6.5,12.5
"MUS-411","Comp Sem& Orch-Strings",2,2,4.5,15
"MUS-412","Comp Sem& Orches-Woodwinds",2,2,6,12.5
"MUS-413","Comp/Sem/Orch-Brass& Percuss",2,2,4.5,15
"MUS-420","Digitl Aud Record/Edit/Produc",3,2,9.33,13.33
"MUS-442","Music Methods & Materials",3,3,3.33,25
"MUS-443","String Pedagogy & Practicum",3,3,1,11.67
"MUS-444","Choral Pedagogy & Practicum",6,6,1.5,15
"MUS-445","Band Pedagogy & Practicum",3,3,1,11.67
"MUS-490","Senior Recital",16,10,1.5,17.5
"MUS-491","Music Minor Capstone",10,10,3,28
"MUS-497","Arts Administration Intern",1,1,1,5
"MUS-497","Arts Management Intern",1,1,1,5
"MUS-497","Bus. & Stage Tech. Specialist",1,1,1,5
"MUS-497","Caldwell Fine Arts Internship",1,1,1,5
"MUS-497","Cfa Management Intern",1,1,1,5
"MUS-497","Disney Company Internship",1,1,1,5
"MUS-497","Marketing & Bus. in the Arts",1,1,1,5
"MUS-497","Promotion & Mngmnt in the Arts",1,1,1,5
"MUSAP-130","Applied Bassoon I",2,2,1,25
"MUSAP-130","Applied Cello I",8,8,3.12,25
"MUSAP-130","Applied Clarinet I",4,4,1,25
"MUSAP-130","Applied Flute I",5,5,3.8,25
"MUSAP-130","Applied French Horn I",2,2,1,25
"MUSAP-130","Applied Guitar I",3,3,2,25
"MUSAP-130","Applied Jazz Voice",1,1,1,25
"MUSAP-130","Applied Music Bass I",2,2,1.5,25
"MUSAP-130","Applied Music Cello I",3,3,3.33,25
"MUSAP-130","Applied Music Clarinet I",1,1,1,25
"MUSAP-130","Applied Music Euphonium I",2,2,1.5,25
"MUSAP-130","Applied Music Oboe I",1,1,1,25
"MUSAP-130","Applied Music Percussion I",4,4,2.25,25
"MUSAP-130","Applied Music Piano I",3,3,4.33,25
"MUSAP-130","Applied Music Saxophone I",3,3,3,25
"MUSAP-130","Applied Music Trombone I",2,2,3,25
"MUSAP-130","Applied Music Trumpet I",2,2,3,25
"MUSAP-130","Applied Music Vioila I",1,1,2,25
"MUSAP-130","Applied Music Viola I",2,2,1,25
"MUSAP-130","Applied Music Violin I",2,2,1.5,25
"MUSAP-130","Applied Music Voice I",4,4,8.5,25
"MUSAP-130","Applied Organ I",2,2,1,25
"MUSAP-130","Applied Percussion I",5,5,1.8,25
"MUSAP-130","Applied Piano I",10,10,6.9,25
"MUSAP-130","Applied Saxaphone I",1,1,2,25
"MUSAP-130","Applied Saxophone I",5,5,1.2,25
"MUSAP-130","Applied String Bass I",6,6,1.33,25
"MUSAP-130","Applied Trombone I",3,3,1,25
"MUSAP-130","Applied Trumpet I",5,5,1,25
"MUSAP-130","Applied Tuba I",1,1,1,25
"MUSAP-130","Applied Viola I",7,7,2.14,25
"MUSAP-130","Applied Violin I",10,9,2.9,25
"MUSAP-130","Applied Voice I",9,9,10,25
"MUSAP-130","Applied Volin I",1,1,1,25
"MUSAP-130","Applies Flute I",1,1,1,25
"MUSAP-130","Applies Voice I",1,1,15,25
"MUSAP-130CLS","Applied Cello I",1,1,2,5
"MUSAP-130FBA","Applied Bassoon I",1,1,1,5
"MUSAP-130FCE","Applied Cello I",1,1,6,5
"MUSAP-130FFL","Applied Flute I",1,1,1,5
"MUSAP-130FFR","Applied French Horn I",1,1,1,5
"MUSAP-130FGU","Applied Guitar I",1,1,2,5
"MUSAP-130FPI","Applied Piano I",1,1,10,5
"MUSAP-130FST","Applied String Bass I",1,1,2,5
"MUSAP-130FTO","Applied Trombone I",1,1,1,5
"MUSAP-130FTR","Applied Trumpet I",1,1,2,5
"MUSAP-130FVI","Applied Viola I",1,1,2,5
"MUSAP-130FVN","Applied Violin I",2,1,3,5
"MUSAP-130FVO","Applied Voice I",1,1,4,5
"MUSAP-230","Applied Bassoon II",2,2,1,25
"MUSAP-230","Applied Cello II",8,8,1.62,25
"MUSAP-230","Applied Clarinet II",2,2,1,25
"MUSAP-230","Applied Flute II",3,3,1,25
"MUSAP-230","Applied French Horn II",1,1,1,25
"MUSAP-230","Applied Guitar II",4,4,1.25,25
"MUSAP-230","Applied Music Bass II",2,2,1,25
"MUSAP-230","Applied Music Bassoon II",3,3,1,25
"MUSAP-230","Applied Music Cello II",1,1,3,25
"MUSAP-230","Applied Music Clarinet II",2,2,1,25
"MUSAP-230","Applied Music Euphonium II",2,2,1,25
"MUSAP-230","Applied Music Flute II",2,2,1.5,25
"MUSAP-230","Applied Music Guitar II",1,1,2,25
"MUSAP-230","Applied Music II: Flute",1,1,5,25
"MUSAP-230","Applied Music Ii: Flute",1,1,3,25
"MUSAP-230","Applied Music Percussion II",3,3,1.33,25
"MUSAP-230","Applied Music Piano II",4,4,2.25,25
"MUSAP-230","Applied Music Saxophone II",2,2,1.5,25
"MUSAP-230","Applied Music String Bass II",1,1,1,25
"MUSAP-230","Applied Music Trumpet II",2,2,1,25
"MUSAP-230","Applied Music Violin II",3,3,1,25
"MUSAP-230","Applied Music Voice II",4,4,5,25
"MUSAP-230","Applied Percussion II",2,2,1.5,25
"MUSAP-230","Applied Piano II",7,7,2.71,25
"MUSAP-230","Applied Saxaphone II",1,1,1,25
"MUSAP-230","Applied Saxophone II",3,3,1,25
"MUSAP-230","Applied String Bass II",1,1,1,25
"MUSAP-230","Applied Trombone II",2,2,1,25
"MUSAP-230","Applied Trumpet II",1,1,1,25
"MUSAP-230","Applied Viola II",2,2,1,25
"MUSAP-230","Applied Violin II",12,11,1.5,25
"MUSAP-230","Applied Voice II",10,10,6.2,25
"MUSAP-230FFL","Applied Flute II",1,1,1,5
"MUSAP-230FFR","Applied French Horn II",1,1,1,5
"MUSAP-230FVN","Applied Violin II",1,1,2,5
"MUSAP-230FVO","Applied Voice II",1,1,6,5
"MUSAP-330","Applied Cello III",8,8,1.62,25
"MUSAP-330","Applied Clarinet III",2,2,1,25
"MUSAP-330","Applied Flute III",3,3,1,25
"MUSAP-330","Applied Guitar III",2,2,1.5,25
"MUSAP-330","Applied Music -Voice III",1,1,2,4
"MUSAP-330","Applied Music Cello III",2,2,1.5,25
"MUSAP-330","Applied Music Flute III",2,2,1.5,25
"MUSAP-330","Applied Music III",1,1,2,25
"MUSAP-330","Applied Music Iii: Flute",1,1,1,25
"MUSAP-330","Applied Music Piano III",4,4,1.5,25
"MUSAP-330","Applied Music Saxophone III",3,3,1,25
"MUSAP-330","Applied Music Violin III",3,3,1,25
"MUSAP-330","Applied Music Voice III",4,4,3.5,25
"MUSAP-330","Applied Musicviolin III",1,1,1,25
"MUSAP-330","Applied Percussion III",4,4,1,25
"MUSAP-330","Applied Piano III",5,5,1.8,25
"MUSAP-330","Applied Sting Bass III",1,1,1,25
"MUSAP-330","Applied String Bass III",1,1,1,25
"MUSAP-330","Applied Viola III",2,2,1,25
"MUSAP-330","Applied Violin III",4,4,1.25,25
"MUSAP-330","Applied Voice III",12,12,4.17,25
"MUSAP-330FCE","Applied Cello III",1,1,1,5
"MUSAP-330FPI","Applied Piano III",1,1,1,5
"MUSAP-330FSA","Applied Saxophone III",1,1,1,5
"MUSAP-330FVN","Applied Violin III",1,1,1,5
"MUSAP-330FVO","Applied Voice III",1,1,4,5
"MUSAP-403","Applied Composition",14,14,5.21,5.86
"MUSAP-430","Applied Cello IV",8,8,1.5,25
"MUSAP-430","Applied Flute IV",2,2,1,25
"MUSAP-430","Applied Guitar IV",2,2,2,25
"MUSAP-430","Applied Jazz Bass IV",1,1,1,25
"MUSAP-430","Applied Music Cello IV",1,1,2,25
"MUSAP-430","Applied Music Clarinet IV",2,2,1,25
"MUSAP-430","Applied Music Flute IV",1,1,1,25
"MUSAP-430","Applied Music Iv: Cello",1,1,1,25
"MUSAP-430","Applied Music Percussion IV",2,2,1,25
"MUSAP-430","Applied Music Piano IV",2,2,1,25
"MUSAP-430","Applied Music Violin IV",2,2,1.5,25
"MUSAP-430","Applied Music Voice IV",4,4,4,25
"MUSAP-430","Applied Music-Voice IV",1,1,2,3
"MUSAP-430","Applied Piano IV",7,7,1.43,25
"MUSAP-430","Applied Saxophone IV",2,2,1,25
"MUSAP-430","Applied String Bass IV",1,1,1,25
"MUSAP-430","Applied Trombone IV",1,1,1,25
"MUSAP-430","Applied Viola IV",2,2,2,25
"MUSAP-430","Applied Violin IV",11,9,1.36,25
"MUSAP-430","Applied Voice IV",13,13,2.46,25
"MUSAP-430","Jazz String Bass",1,1,1,25
"MUSAP-430FPE","Applied Percussion IV",1,1,1,5
"MUSAP-430FVI","Applied Viola IV",1,1,1,5
"MUSAP-430FVO","Applied Voice IV",1,1,5,5
"PHI-150","Critical Reasoning",6,6,23.33,29
"PHI-201","The Good Life",6,5,22.33,24
"PHI-202","Bioethics",14,11,25.5,27
"PHI-202.1","The Good Life",2,1,27,24
"PHI-202.3","Bioethics",4,2,30.75,30
"PHI-202.6","Personal Identity",1,1,27,30
"PHI-210","Hum Nat & the Sci World-View",1,1,24,24
"PHI-214","Introduction to Logic",7,7,23.71,27.43
"PHI-309","Feminist Philosophy",4,4,15,24.25
"PHI-310","Ancient Philosophy",5,5,11.2,24.2
"PHI-311","Modern Philosophy",4,4,14,24
"PHI-316","Philosophy of Mind",1,1,23,24
"PHI-320","Analytic Philosophy",2,2,14,24
"PHI-331","Ethics",7,7,19.29,21.57
"PHI-340","Environmental Philosophy",8,8,24.62,24.38
"PHI-351","Philosophy of Religion",4,4,15,18.25
"PHI-498","Philosophy Seminar",9,9,4.33,20.33
"PHI-499","Senior Thesis",5,5,2,24
"PHY-100","The Universe",7,7,39.86,46.43
"PHY-105","Introduction to CAD",2,2,17,20
"PHY-170","Engineering Analysis",3,3,15.33,26.67
"PHY-199","Math & Physics Colloquium",10,10,8.8,25
"PHY-199T","Math/Physics Colloquium",2,2,3,30
"PHY-210","Statics",4,4,8.5,31.25
"PHY-230","Digital Electronics",3,3,13.67,20
"PHY-230L","Digital Electronics Lab",3,3,13.67,20
"PHY-231","General Physics",2,2,34,40
"PHY-231","General Physics I",6,6,37.33,40
"PHY-231L","General Physics I Lab",12,6,18.83,20
"PHY-231L","General Physics Lab",4,2,16.5,20
"PHY-232","General Physics",2,2,18,40
"PHY-232","General Physics II",5,5,20.4,34
"PHY-232L","General Physics II Lab",10,5,10.2,20
"PHY-232L","General Physics Lab",4,2,8.75,20
"PHY-240","Analog Electronics",2,2,9,27.5
"PHY-240L","Analog Electronics Lab",2,2,9.5,27.5
"PHY-271","Analytical Physics",3,2,39.67,40
"PHY-271","Analytical Physics I",7,6,21.57,40
"PHY-271L","Analytical Physics I Lab",10,6,12.3,20
"PHY-271L","Analytical Physics Lab",4,2,18.75,20
"PHY-272","Analytical Physics",2,2,30.5,40
"PHY-272","Analytical Physics II",4,4,21,37.5
"PHY-272L","Analytical Physics II Lab",8,4,10.5,20
"PHY-272L","Analytical Physics Lab",4,2,15.5,20
"PHY-301","Theoretical Mechanics",6,6,11.67,30
"PHY-313","Thermal Physics",8,8,13.62,30
"PHY-330","Electricity & Magnetism",4,4,13.75,27.5
"PHY-399T","ST: Optics Laboratory",1,1,5,20
"PHY-399T.2","The Physics of Music",1,1,16,20
"PHY-400","Quantum Physics",7,6,14.71,27.43
"PHY-494","Advanced Mechanics Topics",1,1,2,2
"PHY-496","Astronomy Research",1,1,3,5
"PHY-496","Independent Research-Astronomy",6,6,1.83,5
"PHY-496","Photometry of Variable Stars",1,1,1,5
"POE-100","Essentials American Government",6,6,35.67,39.17
"POE-105","Career Exploration in POE",2,2,19,30
"POE-120","International Politics",12,12,29.67,30.92
"POE-130","Global Issues",6,5,17.83,30
"POE-140","Privilege and Oppression",2,2,17.5,25
"POE-150","Poverty in Africa & Asia",1,1,14,25
"POE-199","Model UN I - 1st 6WKS",2,2,15.5,40
"POE-199","Model United Nations I",5,5,12,32
"POE-205","Social Order and Disorder",1,1,10,25
"POE-241","Introduction to Public Policy",8,8,35.62,39.88
"POE-250","Introduction to Political Phil",13,13,26.31,28.38
"POE-255","Intro Pol Phil Through Plato",3,3,13.33,25
"POE-260","Comparative Politics",4,4,20.75,26.25
"POE-263","Intro to Political Economy",9,9,24.33,29.78
"POE-263","Introduction/Political Economy",6,6,21.83,30
"POE-299","Evidence, Proof, & Knowledge",7,7,22.71,30
"POE-299T","Social Democracy",1,1,7,15
"POE-299T.4","Political Econ of Foreign Aid",2,1,13,15
"POE-300","Constitutional Law I",8,8,17,25
"POE-301","Constitutional Law II",3,3,11.67,25
"POE-302","Economic Development",1,1,32,25
"POE-304","Presidential Election of 2012",1,1,20,25
"POE-304","Presidential Election of 2016",1,1,21,25
"POE-305","Theories of Democracy",3,3,5.33,10
"POE-307","The Legislative Process",3,3,12,23.33
"POE-309","The American Presidency",4,4,16.25,26.25
